Date,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,No of Investors
19/10/2016,FISDOM,CONSUMER INTERNET,PERSONAL WEALTH MANAGEMENT PLATFORM AND APP,BENGALURU,"SAAMA CAPITAL, RAGHUNANDAN G, APRAMEYA RADHAKRISHNA",PRIVATE EQUITY,1100000,3
19/10/2016,ACTOFIT,TECHNOLOGY,WEARABLE TECHNOLOGY PLATFORM AND DEVICES,MUMBAI,NEXT ORBIT VENTURES FUND,PRIVATE EQUITY,750000,1
18/10/2016,3DEXTER,TECHNOLOGY,3D PRINTING SOLUTIONS FOR EDU SPACE,NEW DELHI,NEWBIE PROMOTERS,SEED FUNDING,150000,1
18/10/2016,MYSUN,TECHNOLOGY,SOLAR ENERGY HARNESSING PRODUCTS MARKETPLACE,NOIDA,GENERAL CATALYST PARTNERS,PRIVATE EQUITY,2500000,1
17/10/2016,YUMIGO,CONSUMER INTERNET,APP BASED TRAVEL DISCOVERY AND TRANSACTIONS PLATFORM,GURUGRAM,HEMANT SAHNI,SEED FUNDING,300000,1
17/10/2016,RENTALPHA,OTHERS,EQUIPMENT RENTAL AND LEASING COMPANY,MUMBAI,BRAVIA CAPITAL,PRIVATE EQUITY,16000000,1
15/10/2016,DAILYHUNT,CONSUMER INTERNET,VERNACULAR CONTENT MOBILE APP,BENGALURU,"BYTEDANCE, ARUN SARIN, MATRIX PARTNERS, SEQUOIA CAPITAL INDIA, OMIDYAR NETWORK, FALCON EDGE",PRIVATE EQUITY,25000000,6
15/10/2016,TAZZO BIKES,CONSUMER INTERNET,MOTORBIKE RENTAL PLATFORM,HYDERABAD,"DSG CONSUMER PARTNERS, AMERICAN EXPRESS VENTURES, CYBER CARRIER VC, ADVANTEDGE PARTNERS",SEED FUNDING,227000,4
15/10/2016,MYKINDOFJOB,CONSUMER INTERNET,INTERNET AND FRESHER JOB PLATFORM,MUMBAI,"MAYANK SHAH, SHREYANS SHAH",SEED FUNDING,1000000,2
14/10/2016,NEWSPATROLLING,CONSUMER INTERNET,ONLINE NEWS PORTAL,NEW DELHI,"UNDISCLOSED JAPANESE INVESTOR, BERTELSMANN INDIA INVESTMENTS, NIRVANA DIGITAL INDIA FUND, NIRVANA DIGITAL INVESTMENT HOLDING CO LTD, 500 STARTUPS",SEED FUNDING,25000,5
14/10/2016,POSTMAN,CONSUMER INTERNET,API PLATFORM,BENGALURU,"NEXUS VENTURE PARTNERS, MGV, LIQUID 2 VENTURES, HACK VC, EMERGENT VENTURES AND Y COMBINATOR",PRIVATE EQUITY,7000000,5
14/10/2016,ISFC,FINANCE,EDUCATION SECTOR LENDING,HYDERABAD,GRAY MATTERS CAPITAL,PRIVATE EQUITY,6000000,1
13/10/2016,FABALLEY,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE FASHION BRAND STORE,NOIDA,"INDIA QUOTIENT, FAO VENTURES, INDIAN ANGEL NETWORK, TUSHAR SINGH, RANJAN SHARMA",PRIVATE EQUITY,2000000,5
13/10/2016,ROBOVAC,TECHNOLOGY,WATERLESS CAR WASHING SOLUTION,AHMEDABAD,VIRENDRA PATEL,SEED FUNDING,450000,1
11/10/2016,YUPP TV,CONSUMER INTERNET,INTERNETBASED TV STREAMING SERVICE PROVIDER,BENGALURU,"EMERALD MEDIA, PREMJI INVEST",PRIVATE EQUITY,50000000,2
11/10/2016,DEYOR CAMPS,CONSUMER INTERNET,BRANDED CAMPING LOCATION AGGREGATOR,GURUGRAM,"NITIN PASSI, MANICKAM MAHALINGAM, UDAAN ANGELS, RAJESH ARORA, ARKAS INDUSTRIES",SEED FUNDING,500000,5
10/10/2016,VITHI ,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE HAIR EXTENSION ETAILER,NEW DELHI,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,375000,1
07/10/2016,RAYIOT,TECHNOLOGY,BABY MONITORING DEVICES MANUFACTURER,BENGALURU,HAX ACCELERATOR,SEED FUNDING,100000,1
07/10/2016,KOOH SPORTS,TECHNOLOGY,SPORTS TRAINING AND TECHNOLOGY,MUMBAI,"HDFC, FAERING CAPITAL, ELEVATE SPORTS",PRIVATE EQUITY,2200000,3
07/10/2016,FLEXILOANS,CONSUMER INTERNET,ONLINE FUNDS RAISING PLATFORM,MUMBAI,"SANJAY NAYAR, VIKRAM SUD, ANIL JAGGIA, NARAYAN SESHADRI",PRIVATE EQUITY,15000000,4
06/10/2016,REALBOX,TECHNOLOGY,DATA SCIENCES PLATFORM,NOIDA,"HYDERABAD ANGELS, SINGAPORE ANGEL NETWORK, NESS WADIA",SEED FUNDING,300000,3
06/10/2016,GOZEFO,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,USED FURNITURE AND APPLIANCES MARKETPLACE,BENGALURU,"HELION VENTURE PARTNERS, BEENEXT",PRIVATE EQUITY,1050000,2
05/10/2016,UE LIFESCIENCES,TECHNOLOGY,MOBILE HEALTH TECHNOLOGY SOLUTIONS,MUMBAI,"KIRAN MAZUMDARSHAW, UNITUS SEED FUND",PRIVATE EQUITY,1200000,2
04/10/2016,GIFTXOXO,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE GIFTING PLATFORM,BENGALURU,MAHINDRA HOLIDAYS AND RESORTS INDIA LTD,PRIVATE EQUITY,450000,1
04/10/2016,INDIA GIFTS PORTAL,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE GIFTING PLATFORM,NOIDA,"NAVEEN ARYA, TARUN JOSHI",PRIVATE EQUITY,2000000,2
04/10/2016,MOGLIX,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,INDUSTRIAL AND HOME PRODUCTS MARKETPLACE,NOIDA,"ACCEL PARTNERS, JUNGLE VENTURES, SEEDPLUS",PRIVATE EQUITY,4200000,3
04/10/2016,NETLINX,CONSUMER INTERNET,INTERNET SERVICE PROVIDER,HYDERABAD,"XCHANGE INVESTORS NV, TRANSGLOBAL FZC",PRIVATE EQUITY,3000000,2
04/10/2016,REMITR,CONSUMER INTERNET,FOREIGN CURRENCY PAYMENTS PLATFORM,MUMBAI,"VIJAY SHEKHAR SHARMA, PRAVIN GANDHI, SMART START FUND; KUNAL SHAH, SANDEEP TANDON, VISHAL GONDAL, AND OTHERS",SEED FUNDING,1000000,6
04/10/2016,INNERCHEF,CONSUMER INTERNET,ONLINE FOOD ORDERING PLATFORM/APP,GURUGRAM,"MISTLETOE, MANDS PARTNERS",PRIVATE EQUITY,2500000,2
04/10/2016,APPSDAILY,CONSUMER INTERNET,"MOBILE PHONE THEFT, DAMAGE PROTECTION PLATFORM",MUMBAI,"ZODIUS CAPITAL, KALAARI CAPITAL, QUALCOMM VENTURES, RUSSIAN VENTURE CAPITAL FUND RUNET, MUMBAI ANGELS",PRIVATE EQUITY,3750000,5
03/10/2016,MYSTIFLY,CONSUMER INTERNET,AIRLINE TICKET AGGREGATOR,BENGALURU,RECRUIT HOLDINGS,PRIVATE EQUITY,5000000,1
03/10/2016,UNIPHORE,TECHNOLOGY,SPEECH RECOGNITION SOLUTIONS,CHENNAI,"IDG VENTURES, INDIAN ANGEL NETWORK (IAN), YOURNEST ANGEL FUND",PRIVATE EQUITY,2000000,3
03/10/2016,WORLD ART COMMUNITY,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ART AND CRAFT MARKETPLACE,GURUGRAM,VIRAJ TYAGI AND OTHERS,SEED FUNDING,200000,1
30/09/2016,ZETA,TECHNOLOGY,ENTERPRISE CLOUD SOLUTIONS,MUMBAI,BHAVIN TURAKHIA,PRIVATE EQUITY,19000000,1
29/09/2016,PROMON,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,LOCAL COMMERCE PLATFORM,NEW DELHI,NOW CAPITAL,SEED FUNDING,180000,1
29/09/2016,UNOCOIN,CONSUMER INTERNET,BITCOIN WALLET,BENGALURU,"BLUME VENTURES, MUMBAI ANGELS, AH! VENTURES, DIGITAL CURRENCY GROUP, BOOST VC, BANK TO THE FUTURE AND FUNDERS CLUB",PRIVATE EQUITY,1500000,6
28/09/2016,BEARDO,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,MENS GROOMING PRODUCTS ETAILER,AHMEDABAD,"VENTURE CATALYSTS, ALFA CAPITAL, GREEN SHOTS CAPITAL, REAL TIME VENTURES",SEED FUNDING,500000,4
28/09/2016,INSTACAR,CONSUMER INTERNET,OUTSTATION TAXI RENTAL PLATFORM,INDORE,SWASTIKA CO LTD.,SEED FUNDING,1000000,1
28/09/2016,CELES CARE,CONSUMER INTERNET,VIRTUAL HEALTH CLINIC FOR WOMEN,HYDERABAD,"ENDIYA PARTNERS, VENTUREAST",SEED FUNDING,1000000,2
28/09/2016,DRUVA,TECHNOLOGY,CLOUD BASED DATA PROTECTION SOLUTION,PUNE,"SEQUOIA INDIA, EDBI, BLUE CLOUD VENTURES, HERCULES CAPITAL",PRIVATE EQUITY,51000000,4
27/09/2016,TINYSTEP,CONSUMER INTERNET,PARENTING NETWORK PLATFORM,BENGALURU,FLIPKART LOGISTICS PVT. LTD,PRIVATE EQUITY,1580000,1
23/09/2016,CLOUDCHERRY ANALYTICS,TECHNOLOGY,CRM SAAS PLATFORM,CHENNAI,"VERTEX VENTURES, CISCO VENTURES, IDG VENTURES",PRIVATE EQUITY,6000000,3
22/09/2016,GADGETWOOD,CONSUMER INTERNET,ONDEMAND GADGET REPAIR SERVICES PLATFORM,NEW DELHI,CARPEDIEM CAPITAL AND OTHERS,PRIVATE EQUITY,6000000,1
22/09/2016,FLIXY GAMES,TECHNOLOGY,MOBILE GAME PUBLISHER FOR INDIAN AUDIENCE,BENGALURU,"REBRIGHT PARTNERS, SOL PRIMERO, SUDHIR ANANDARAO, ANKUR WARIKOO, ANKUR SINGLA",SEED FUNDING,425000,5
22/09/2016,HASHTAAG,TECHNOLOGY,MOBILE APP DEVELOPMENT COMPANY,BENGALURU,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,1000000,1
22/09/2016,PHARMARACK,TECHNOLOGY,SAAS APPLICATION FOR PHARMA INDUSTRY,PUNE,"CURRAE HEALTHTECH FUND, UNICORN INDIA VENTURES",PRIVATE EQUITY,745000,2
21/09/2016,CO LIFE,CONSUMER INTERNET,SHARED LIVING AND WORKING SPACES PLATFORM,BENGALURU,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,1000000,1
21/09/2016,PEPPERFRY,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,FURNITURE ETAILER,MUMBAI,"GOLDMAN SACHS GROUP, ZODIUS TECHNOLOGY FUND, NORWEST VENTURE PARTNERS, BERTELSMANN INDIA",PRIVATE EQUITY,31300000,4
21/09/2016,EQUICKIES,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE BOOK ETAILER,AHMEDABAD,LOTHAL ANGEL VENTURES,SEED FUNDING,298000,1
21/09/2016,KHEL NOW,CONSUMER INTERNET,MOBILEBASED SOCIAL NETWORKING PLATFORM,NEW DELHI,ANGLIAN OMEGA NETWORK,SEED FUNDING,350000,1
20/09/2016,JUSTLIKENEW,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE GADGET REPAIR SERVICES MARKETPLACE,HYDERABAD,"LETSVENTURE, PITCHRIGHT VENTURE, 91SPRINGBOARD, AL NOUR INTERNATIONAL HOLDINGS AND MARK V INVESTMENTS",SEED FUNDING,500000,4
19/09/2016,MILOFY,CONSUMER INTERNET,COUPLE SOCIALIZATION APP,BENGALURU,"ACCEL PARTNERS, IDG VENTURE, ENDIYA PARTNERS, PI VENTURES, VH CAPITAL, AXILOR VENTURES AND BINNY BANSAL",SEED FUNDING,750000,6
19/09/2016,SWIGGY,CONSUMER INTERNET,ONLINE FOOD ORDERING AND DELIVERY PLATFORM,BENGALURU,"BESSEMER VENTURE PARTNERS, ORIOS VENTURE PARTNERS, TRIFECTA CAPITAL,",PRIVATE EQUITY,15000000,4
16/09/2016,NEWSDISTILL,CONSUMER INTERNET,CITY BASED NEWS AGGREGATOR APP,HYDERABAD,"GANESH NARASIMHAN, RAMANA THUMU, SUDHIR MALLEM",SEED FUNDING,100000,3
16/09/2016,DOCTORINSTA,CONSUMER INTERNET,ONLINE DOCTOR CONSULTATIONS,GURUGRAM,ROUNDGLASS PARTNERS LLC,PRIVATE EQUITY,1000000,1
15/09/2016,INFEEDO,CONSUMER INTERNET,EMPLOYEE ENGAGEMENT PLATFORM,GURUGRAM,"DHEERAJ JAIN, PALASH JAIN, ANUPAM MITTAL, AMEERA SHAH, VIVEK BHARGAVA, RAHUL SINGH, AMBARISH GUPTA,",SEED FUNDING,200000,8
15/09/2016,FURLENCO,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE FURNITURE RENTAL STARTUP,BENGALURU,LIGHTBOX VENTURES AND OTHERS,PRIVATE EQUITY,5000000,1
15/09/2016,GOPIGEON,CONSUMER INTERNET,ONDEMAND LOGISTICS SERVICE PROVIDER,BENGALURU,"NEXUS VENTURE PARTNERS, MGV, LIQUID 2 VENTURES, HACK VC, EMERGENT VENTURES AND Y COMBINATOR",PRIVATE EQUITY,1500000,5
14/09/2016,FLOCAREER,CONSUMER INTERNET,JOBS AND SKILL VALIDATION PLATFORM,BENGALURU,"BALASUBRAMANIAN KRISHNAMURTHY, SIDHARTHA HAZARIKA AND OTHERS",SEED FUNDING,150000,2
13/09/2016,NEARBUY (PREVIOUSLY GROUPON INDIA),CONSUMER INTERNET,ONLINE DEALS AND DISCOUNT PLATFORM,GURUGRAM,BLACKSOIL CAPITAL PVT. LTD.,PRIVATE EQUITY,2500000,1
12/09/2016,PURPLE STYLE LABS,CONSUMER INTERNET,PERSONAL STYLING ONLINE PLATFORM,MUMBAI,"AUGMENT VENTURES, RAHUL KAYAN, NIKHIL GOLCHA, SHUBHAM GUPTA, ROY KWAN",SEED FUNDING,448000,5
12/09/2016,INUXU,TECHNOLOGY,ONLINE ADVERTISING SOLUTIONS,PUNE,FORK MEDIA,PRIVATE EQUITY,3000000,1
12/09/2016,NYKAA,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE BEAUTY PRODUCTS ETAILER,MUMBAI,"SUNIL MUNJAL, MARIWALA FAMILY",PRIVATE EQUITY,12300000,2
12/09/2016,GLAM STUDIOS,CONSUMER INTERNET,BEAUTY SALON AGGREGATOR,NOIDA,"PRADEEP MIRANI, AQEEL AHMED, ANAND LADSARIYA, NITIN AGARWAL",SEED FUNDING,300000,4
10/09/2016,CUREINSTANT,CONSUMER INTERNET,SOCIAL HEALTH NETWORKING PLATFORM,NEW DELHI,DR. RAMESHWAR KUMAR,SEED FUNDING,150000,1
10/09/2016,POSHTIC,CONSUMER INTERNET,ONLINE HEALTH AND WELLNESS PLATFORM,NOIDA,"HAVYA SHARMA, AMIT NAGAR",SEED FUNDING,450000,2
09/09/2016,BYJU X80X99S,EDUCATION CONTENT PROVIDER,ONLINE LEARNING APP,BENGALURU,"CHAN ZUCKERBERG INITIATIVE, TIMES INTERNET LTD, SEQUOIA CAPITAL, SOFINA, LIGHTSPEED VENTURES",PRIVATE EQUITY,50000000,5
08/09/2016,TOPRANKERS,EDUCATION CONTENT PROVIDER,ONLINE TEST PREPARATION PLATFORM,BENGALURU,"CAREERNET CONSULTING PVT. LTD, IDEATION INITIATIVE PVT. LTD,",SEED FUNDING,670000,3
08/09/2016,BUILDTRADERS,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE CONSTRUCTION MATERIALS MARKETPLACE,BENGALURU,IDEIN VENTURES,SEED FUNDING,200000,1
07/09/2016,ZILINGO,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE FASHION RETAILER,BENGALURU,"VENTURRA CAPITAL, SEQUOIA INDIA, SUSQUEHANNA INTERNATIONAL GROUP. WAVEMAKER PARTNERS, BEENEXT, BEENOS, DIGITAL GARAGE",PRIVATE EQUITY,8000000,6
07/09/2016,ALTERNACARE,CONSUMER INTERNET,ONLINE DOCTOR CONSULTING PLATFORM,NEW DELHI,EROS LABS,SEED FUNDING,500000,1
07/09/2016,SIMPLILEARN,EDUCATION CONTENT PROVIDER,ONLINE CERTIFICATION PROGRAMS,BENGALURU,INNOVEN CAPITAL INDIA,PRIVATE EQUITY,6000000,1
07/09/2016,PROZO,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,STUDY MATERIAL MARKETPLACE,GURUGRAM,"EARLSFIELD CAPITAL, SAILENDER SOLANKI, RAJIV SOLANKI",SEED FUNDING,315000,3
06/09/2016,ESHAKTI,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,WOMEN X80 X99S FASHION APPAREL ETAILER,CHENNAI,"INFINA FINANCE PVT. LTD, UDAY KOTAK",PRIVATE EQUITY,1350000,2
06/09/2016,CHEERSOYE!,CONSUMER INTERNET,ONLINE GIFT VOUCHERS PLATFORM,MUMBAI,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,500000,1
06/09/2016,BIGSTYLIST ,CONSUMER INTERNET,HYPERLOCAL DOORSTEP BEAUTY SERVICES PROVIDER,MUMBAI,INFO EDGE (INDIA) LTD,PRIVATE EQUITY,900000,1
01/09/2016,MIHUP,TECHNOLOGY,PERSONAL DIGITAL ASSISTANT,KOLKATA,"ACCEL PARTNERS, IDG VENTURE, ENDIYA PARTNERS, PI VENTURES, VH CAPITAL, AXILOR VENTURES AND BINNY BANSAL",PRIVATE EQUITY,6700000,6
31/08/2016,FLYROBE,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE FASHION RENTAL PLATFORM,MUMBAI,"IDG VENTURES, SEQUOIA CAPITAL, GREE VENTURES",PRIVATE EQUITY,5300000,3
30/08/2016,IAUGMENTOR LABS,TECHNOLOGY,ASSESSMENT AND LEARNING PLATFORM,GURUGRAM,RAJASTHAN ANGEL INVESTOR NETWORK AND OTHERS,SEED FUNDING,149000,1
30/08/2016,DAYBOX,CONSUMER INTERNET,FRUIT AND VEGETABLE DELIVERY PLATFORM,NEW DELHI,"ASHUTOSH LAWANIA, RAJUL JAIN, BADAL MALICK, RISHI GUPTA AND OTHERS",SEED FUNDING,104000,4
30/08/2016,PAYTM MARKETPLACE,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,MOBILE WALLET AND ECOMMERCE PLATFORM,BENGALURU,MEDIATEK INC.,PRIVATE EQUITY,60000000,1
30/08/2016,CROPIN,TECHNOLOGY,AGRICULTURE TECHNOLOGY SOLUTIONS,BENGALURU,SOPHIA INVESTMENT APS,PRIVATE EQUITY,2000000,1
30/08/2016,CANVERA,CONSUMER INTERNET,PHOTOGRAPHER DISCOVERY AND INFORMATION PLATFORM,BENGALURU,INFO EDGE (INDIA) LTD,PRIVATE EQUITY,3000000,1
29/08/2016,LOANTAP,CONSUMER INTERNET,LENDING PLATFORM FOR SALARIED PROFESSIONALS,MUMBAI,"DR. ABHISHEK PANDEY, JAYSUKH SAPRA",PRIVATE EQUITY,3000000,2
29/08/2016,RUNNR,CONSUMER INTERNET,HYPERLOCAL LOGISTICS SERVICES PROVIDER,BENGALURU,"NEXUS VENTURE PARTNERS, BLUME VENTURES",PRIVATE EQUITY,7000000,2
29/08/2016,NOTION PRESS,CONSUMER INTERNET,SELFPUBLISHING BOOKS PLATFORM,CHENNAI,UNDISCLOSED HNI INVESTORS,PRIVATE EQUITY,1000000,1
29/08/2016,LIVSPACE,CONSUMER INTERNET,ONLINE PORTAL FOR HOME DESIGN,BENGALURU,"BESSEMER VENTURE PARTNERS, JUNGLE VENTURES, HELION VENTURES",PRIVATE EQUITY,15000000,3
26/08/2016,PLIX,CONSUMER INTERNET,PHOTO AND VIDEO SHARING APP,GURUGRAM,INSTALABS,SEED FUNDING,500000,1
26/08/2016,MOBIKWIK,CONSUMER INTERNET,DIGITAL WALLET PLATFORM,GURUGRAM,NET1 UEPS TECHNOLOGIES INC,PRIVATE EQUITY,40000000,1
26/08/2016,MYDIDI,CONSUMER INTERNET,"ONDEMAND, HYPERLOCAL CLEANING SERVICES PROVIDER",MUMBAI,UNDISCLOSED EX MCKINSEY DIRECTORS AND PARTNERS,SEED FUNDING,550000,1
25/08/2016,CULTURE MACHINE,HEALTHCARE SERVICES DISCOVERY PLATFORM,HEALTH AND FITNESS CENTRES,BENGALURU,CUREFIT,PRIVATE EQUITY,3000000,1
25/08/2016,ZOOMCAR,CONSUMER INTERNET,SELFDRIVEN CAR BOOKING PLATFORM,BENGALURU,FORD SMART MOBILITY LLC,PRIVATE EQUITY,24000000,1
24/08/2016,UNAACADEMY,CONSUMER INTERNET,FREE INTERACTIVE EDUCATION PLATFORM,BENGALURU,"BLUME VENTURES, SACHIN BANSAL, VIJAY SHEKHAR SHARMA, BINNY BANSAL, KUNAL SHAH, SANDEEP TANDON, ASHISH TULSIAN",PRIVATE EQUITY,1000000,7
24/08/2016,ADVENIO,TECHNOLOGY,CLINICAL IMAGING SOLUTION PROVIDER,CHANDIGARH,"KALAARI CAPITAL, QUALCOMM VENTURES, RUNET, ZODIUS TECHNOLOGY OPPORTUNITIES FUND,",SEED FUNDING,100000,5
24/08/2016,GUARENTED,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,HOME FURNISHING RENTAL MARKETPLACE,BENGALURU,"KALAARI CAPITAL, QUALCOMM VENTURES, RUNET, ZODIUS TECHNOLOGY OPPORTUNITIES FUND,",SEED FUNDING,500000,5
24/08/2016,UBER DREAMS,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,DREAMS FULFILLING MARKETPLACE,MUMBAI,MOHIT LALVANI,SEED FUNDING,500000,1
24/08/2016,CONVEGENIUS,EDUCATION CONTENT PROVIDER,EDUTAINMENT PLATFORM,NOIDA,"MICHAEL AND SUSAN DELL FOUNDATION, PEARSON LEARNING FUND",PRIVATE EQUITY,900000,2
24/08/2016,URBANLADDER,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE FURNITURE STORE,MUMBAI,"TRIFECTA CAPITAL ADVISORS LLP, PRATHITHI INVESTMENT TRUST, RNT CAPITAL, GOKUL RAJARAM, ADITYA AGARWAL, RUCHI SANGHVI AND OTHERS",PRIVATE EQUITY,3000000,6
23/08/2016,NOTESGEN,CONSUMER INTERNET,ONLINE NOTES SHARING PORTAL,NEW DELHI,"RIJU GUPTA, KAMAL CHABRA",SEED FUNDING,100000,2
23/08/2016,OCTO.AI,TECHNOLOGY,ARTIFICIAL INTELLIGENCE BASED MARKETING PLATFORM,NEW DELHI,"OUTBOX VENTURES, JASPREET BINDRA, ARJUN MALHOTRA, ROHAN MALHOTRA, SIDHARTH RAO, RAKESH AGRAWAL",SEED FUNDING,200000,6
22/08/2016,PURO WELLNESS,HEALTHCARE SERVICES DISCOVERY PLATFORM,"ORGANIC, NATURAL FOOD SUBSTITUTE MANUFACTURER",MUMBAI,TORRENT GROUP,PRIVATE EQUITY,37000000,1
19/08/2016,QUIKR,CONSUMER INTERNET,CLASSIFIED LISTINGS PLATFORM,MUMBAI,"BRAND CAPITAL, SIDDHIVINAYAK SKYSCRAPERS, DINESH R. CHALLA",PRIVATE EQUITY,20000000,3
19/08/2016,DIGIO,TECHNOLOGY,AADHAR BASED DOCUMENT SIGNING PLATFORM,BENGALURU,RAINMATTER,PRIVATE EQUITY,375000,1
17/08/2016,MAALGAADI,LOGISTICS SERVICE PROVIDER MARKETPLACE,ONLINE LOGISTICS MARKETPLACE,INDORE,"SWAN ANGEL NETWORK,SACHIN KHANDELWAL AND OTHERS",SEED FUNDING,375000,2
17/08/2016,APPKNOX,TECHNOLOGY,MOBILE SECURITY SOLUTIONS,BENGALURU,"SEEDPLUS, INFOCOMM INVESTMENTS, ACCEL PARTNERS RNT ASSOCIATES",PRIVATE EQUITY,675000,3
16/08/2016,OYOROOMS,CONSUMER INTERNET,BUDGET HOTELS AGGREGATOR,NEW DELHI,"SOFTBANK GROUP, SEQUOIA CAPITAL INDIA, LIGHTSPEED VENTURE PARTNERS, GREENOAKS CAPITAL, HERO ENTERPRISE",PRIVATE EQUITY,62000000,5
16/08/2016,HIKE,CONSUMER INTERNET,MOBILE MESSAGING APP,NEW DELHI,"TENCENT HOLDINGS, FOXCONN TECHNOLOGY GROUP, TIGER GLOBAL, SOFTBANK GROUP, BHARTI ENTERPRISES",PRIVATE EQUITY,175000000,5
16/08/2016,JOOLZ,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE JEWELLERY STORE,MUMBAI,"POWERHOUSE VENTURES, MANDS PARTNERS",PRIVATE EQUITY,500000,2
16/08/2016,SALEBHAI,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,"SWEETS, DRY FRUITS AND HANDICRAFTS ETAILER",AHMEDABAD,"BRAND CAPITAL, SIDDHIVINAYAK SKYSCRAPERS, DINESH R. CHALLA",PRIVATE EQUITY,1500000,3
16/08/2016,MAKKAJAI,TECHNOLOGY,ONLINE AND MOBILE LEARNING FOR KIDS,PUNE,"ANAND CHANDRASEKARAN, ANANTH NARAYANAN, MEKIN MAHESHWARI, RAVI GARIKIPATI, DIVYESH SHAH, SWASTIKA COMPANY LTD",SEED FUNDING,250000,6
12/08/2016,CROFARM,TECHNOLOGY,AGRITECH SUPPLY CHAIN SOLUTION PROVIDER,GURUGRAM,"MUKUL SINGHAL, ROHIT JAIN, HIMANSHU AGGRAWAL, SUNIL GOYAL ASHISH GUPTA,",PRIVATE EQUITY,1500000,5
12/08/2016,FAIRCENT ,CONSUMER INTERNET,PEERTOPEER LENDING PLATFORM,GURUGRAM,"BRAND CAPITAL, SIDDHIVINAYAK SKYSCRAPERS, DINESH R. CHALLA",PRIVATE EQUITY,1500000,3
12/08/2016,INNOVACCER,TECHNOLOGY,INTEGRATED ENTERPRISE ANALYTICS PLATFORM,NOIDA,WESTBRIDGE CAPITAL PARTNERS,PRIVATE EQUITY,15600000,1
12/08/2016,CUBEROOT,TECHNOLOGY,DATA ANALYTICS AND AUDIENCE MANAGEMENT PLATFORM,GURUGRAM,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,500000,1
11/08/2016,TRAVELYAARI,CONSUMER INTERNET,ONLINE TICKET BOOKING PLATFORM,BENGALURU,"GUJARAT VENTURE FINANCE LIMITED (GVFL), BENNETT COLEMAN AND CO. LTD",PRIVATE EQUITY,7000000,2
11/08/2016,GENEXTSTUDENTS,CONSUMER INTERNET,ONLINE TUTORING SERVICE PROVIDER,MUMBAI,1CROWD (THROUGH CROWDFUNDING),SEED FUNDING,209000,1
11/08/2016,ZENOTI,TECHNOLOGY,CLOUD BASED SOFTWARE SOLUTIONS PROVIDER,HYDERABAD,"NORWEST VENTURE PARTNERS, ACCEL INDIA",PRIVATE EQUITY,15000000,2
10/08/2016,VEBBLER,CONSUMER INTERNET,PHOTO SHARING MOBILE APP,BENGALURU,"ANUPAM MITTAL, SHARAD SHARMA AND 14 OTHERS",SEED FUNDING,500000,2
10/08/2016,BOMBAY SHAVING COMPANY,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,MEN X80X99S GROOMING PRODUCT ETAILER,NEW DELHI,"NOSHIR KAKA, SUBRAMANIAN RAMADORAI, KIRAN DESHPANDE, PANKAJ GUPTA, RAVI NIGAM AND OTHERS",SEED FUNDING,600000,5
